8.31152344, -24.84752274, 60.07319641, -16.19145775, -6.74399519, -9.07720089, -11.95218658,
8.41162109, -27.39552307, -45.17879868, -24.42345810, 6.58400440, 16.20679855, 9.60781288,
8.51171875, -36.21552277, 114.26718903, 34.47453690, 12.95400429, -24.16919899, -11.75618649,
8.61181641, 8.86447620, 58.40719604, -15.01545811, 5.50600433, -12.40920067, 5.68781281,
8.71191406, 14.35247612, -39.20080185, -18.44545746, -8.89999580, 13.65879917, -8.03218651,
8.81201172, 2.00447631, -3.13680267, -2.07945895, 1.29200435, -2.60920048, -1.36818719,
8.91210938, -19.45752335, 98.09719086, -23.34545898, -6.25399542, 17.38279915, -7.44418669,
9.01220703, 24.34847641, 60.85719681, 27.02654076, 10.70000458, 12.18879890, 13.91981220,
9.11230469, -23.37752342, -69.09080505, -49.90345764, 8.25000381, -17.50519943, 9.60781288,
9.21240234, -15.34152317, 40.96319580, -17.36745834, -10.07599545, 12.87479877, 7.94181252,
9.31250000, 6.31647635, -16.66080284, 9.97454071, -3.70599556, 4.74079895, 4.02181244,
9.41259766, -21.90752220, 78.79119110, 21.34254074, -8.70399570, 20.22480011, -9.01218700,
9.51269531, 14.35247612, -30.08680344, 13.20854092, -5.76399565, 16.50079918, -5.58218718,
9.61279297, -19.26152229, 74.96919250, -25.89345741, -6.15599537, 11.99279881, -7.44418669,
9.71289062, 14.64647579, 55.76119614, 18.10854149, -5.07799530, 9.34679890, 7.05981255,
9.81298828, 24.93647575, -78.40080261, 28.88854027, -5.86199522, 9.64079857, 7.05981255,
9.91308594, -14.26352310, -34.59479904, 16.14854050, -3.90199542, 7.48479891, -5.48418713,
10.01318359, -33.27552414, 53.99719620, 41.43253708, -4.78399563, 10.32679939, 7.84381247,
10.11328125, 13.56847572, 44.98119736, -16.68145752, 5.99600410, 6.40679884, -9.99218655,
10.21337891, -25.33752251, 35.76919937, -21.48345757, -7.72399521, -10.44920063, -10.48218727,
10.31347656, 18.37047577, 57.32919693, 24.67454147, 8.34800434, -11.72320080, 10.19581223,
10.41357422, -13.96952343, 56.83919525, -21.97345734, -8.70399570, 12.58079910, -11.75618649,
10.51367188, 6.12047625, -17.54280281, -10.01745892, -2.13799548, 4.54479933, 3.43381262,
10.61376953, -27.19952202, 53.11519623, 18.59854126, -6.25399542, 14.24679852, 15.87981224,
10.71386719, 16.21447563, 65.85519409, -16.09345818, -5.27399540, 10.71879864, -8.03218651,
10.81396484, -4.36552334, -11.07480240, -5.31345892, -2.13799548, 3.66279936, -4.30818701,
10.91406250, -20.04552269, 68.20719147, 25.75254059, 7.17200470, 10.22879887, -10.97218704,
11.01416016, -16.71352386, 71.53919220, -23.73745728, 7.76000404, -12.70320034, -9.20818710,
11.11425781, 3.18047643, 9.50519753, -5.90145922, -2.03999567, 2.29079938, 2.15981269,
11.21435547, 13.86247635, 58.79919815, -37.45745850, 7.56400394, 12.48279858, -14.01018715,
11.31445312, -15.34152317, 77.51718903, -16.68145752, -5.66599560, 9.24879932, -7.05218697,
11.41455078, 19.93847656, 58.79919815, 29.57454109, -9.19399548, 9.54279900, -16.75418854,
11.51464844, 12.98047638, 45.56919861, 15.65854073, -6.54799557, 12.48279858, -6.56218672,
11.61474609, -16.02752304, 47.52919769, -15.21145821, 5.99600410, -7.80320072, -6.07218695,
11.71484375, 15.72447586, 49.88119888, 36.14053726, 7.17200470, 9.44479942, 12.64581299,
11.81494141, -28.27752304, -35.77080154, -17.56345749, 6.38800430, 10.13079929, -11.95218658,
11.91503906, -9.06952381, 24.00919533, 12.81654072, 3.35000420, -9.46920013, -4.30818701,
12.01513672, -19.84952354, 61.93519592, -20.60145760, 8.44600391, -16.23119926, 13.62581253,
12.11523438, -27.00352287, 42.62919617, 31.14253998, 6.58400440, 9.15079880, -8.03218651,
12.21533203, -21.80952263, 59.09319687, 23.10654068, -6.44999552, -8.39120102, -6.26818705,
12.31542969, 12.49047565, -25.87280273, -21.28745842, -4.29399538, 9.34679890, 9.70581245,
12.41552734, 15.62647629, 56.34919739, -28.04945755, 6.87800407, 8.07279968, 11.95981216,
12.51562500, -20.73152351, -62.52479935, -23.54145813, -5.37199545, 8.26879883, 4.60981274,
12.61572266, 12.29447651, 58.89719772, -20.99345779, 5.01600409, 7.19079924, 4.21781301,
12.71582031, 28.85647583, -51.35279846, 17.42254066, 7.36800385, 10.32679939, 13.52781296,
12.81591797, -3.28752351, 12.34719753, 8.89654064, -2.62799549, -3.09920049, 3.62981248,
12.91601562, -25.14152336, 46.05919647, 24.08654022, -7.91999531, 9.54279900, 7.05981255,
13.01611328, -18.08552361, 39.98319626, -19.42545891, 11.68000412, 9.73879910, 9.50981236,
13.11621094, 2.20047641, 10.58319759, 12.81654072, -2.13799548, -3.49120069, -2.54418731,
13.21630859, 22.19247627, 49.88119888, 27.22253990, -9.58599567, 9.44479942, -11.46218681,
13.31640625, -25.63152313, -33.12480164, -16.19145775, -4.58799553, 9.54279900, 13.13581276,
13.41699219, -8.67752361, -32.04680252, 17.71654129, -7.03799534, 7.48479891, 7.15781260,
13.51708984, -9.36352348, -37.73080063, 17.32454109, 3.35000420, 8.07279968, 4.80581284,
13.61718750, 15.23447609, 36.84719849, 22.61654091, 11.77800369, -16.72119904, -9.01218700,
13.71728516, -15.63552284, 42.33519745, 40.55053711, -6.54799557, 8.95479870, 6.27581263,
13.81738281, -2.11152339, -4.41080236, 2.03654099, -1.05999565, -3.09920049, -3.52418733,
13.91748047, 6.51247644, -25.08880234, -9.82145882, -6.54799557, 8.46479893, -3.13218737,
14.01904297, 2.29847646, -4.99880219, 3.50654101, -1.15799558, 1.40879941, -2.15218735,
14.11962891, 1.22047651, 1.07719743, 2.03654099, 1.48800445, 2.87879944, -2.15218735,
14.21972656, 1.12247646, -1.17680252, -2.07945895, 1.19400430, -2.80520058, -2.25018740,
14.31982422, 2.10247636, 2.05719757, -2.47145891, 1.09600425, -1.23720050, -1.27018714,
14.41992188, 1.02447653, -1.47080255, -1.68745899, 1.58600450, -2.11920047, -2.54418731,
14.52001953, 1.22047651, 1.27319729, -2.27545881, -1.74599552, 1.11479938, 2.25781250,
14.62109375, -2.01352358, 1.46919739, 2.42854095, -1.45199561, -2.41320038, -1.95618725,
14.72119141, 2.20047641, 1.27319729, -2.37345886, -1.45199561, 1.21279931, 2.25781250,
14.82128906, -2.11152339, -2.35280252, -1.19745898, -1.54999566, 1.50679934, 1.17981267,
14.92138672, 1.02447653, 1.17519736, -1.29545903, -1.45199561, 2.09479928, -1.07418728,
15.02148438, 1.31847644, -1.17680252, -1.09945893, 2.27200437, -1.43320060, -1.07418728,
15.12353516, -1.42552340, -1.76480246, -2.56945896, -2.23599553, -1.23720050, -1.76018715,
15.22363281, 2.10247636, 2.05719757, -1.98145890, 2.07600427, -1.13920069, -2.64218736,
15.32373047, 2.00447631, 1.17519736, -2.47145891, 2.27200437, 1.11479938, -2.15218735,
15.42382812, 2.00447631, -1.27480257, -2.17745900, 1.48800445, 2.48679924, 2.15981269,
15.52490234, -1.03352344, 2.35119724, -1.29545903, 2.27200437, -2.31520057, 1.17981267,
